order_item_id	order_id	order_item_name	order_item_type
872	5185	Ordinary	shipping
873	5186	Laptop DC Tip Converter 5.5 x 2.1mm female To 3.0 x 1.1mm male for Samsung	line_item
874	5186	COD Handling fee	fee
875	5186	Express	shipping
879	5188	Laptop DC Tip Converter 5.5 x 2.1mm female To 4.8 x 1.7mm male for HP Compaq and others	line_item
880	5188	Express	shipping
881	5189	Laptop DC Tip Converter 5.5x2.1mm female To Lenovo Square Tip male	line_item
882	5189	Ordinary	shipping
883	5194	Bent tip needle for Yarn Darning Tapestry Large Sewing Big Eye Weaving Crochet Wool Blunt Needles 2 Pcs	line_item
884	5194	Stitch Markers Locking type 25 Nos Mixed Color Plastic for Hand Knitting Wool Sewing Crochet Clip Knitting Crochet Markers	line_item
885	5194	Ordinary	shipping
886	5195	Laptop DC Power Adapter Tips (28 Pcs) Universal 5.5x2.1mm Connector Power Supply Input Jack Plug for Lenovo Thinkpad, Dell, Sony, Toshiba, ASUS, HP etc	line_item
887	5195	COD Handling fee	fee
888	5195	Express	shipping
889	5196	Laptop DC Power Adapter Tips (28 Pcs) Universal 5.5x2.1mm Connector Power Supply Input Jack Plug for Lenovo Thinkpad, Dell, Sony, Toshiba, ASUS, HP etc	line_item
890	5196	COD Handling fee	fee
891	5196	Ordinary	shipping
898	5199	German Ventilating Needle 1 Piece for Lace Wig making Size 1-1, 1-2, 2-3, 3-4 choose size - 1-1	line_item
899	5199	Ordinary	shipping
933	5204	Wig Cap 2 Pcs per pack Nylon Stretchy fabric For Wig Hair Extensions Wig making choose color - Brown	line_item
934	5204	Express	shipping
935	5205	Stitch Markers Locking type 50 Nos Mixed Color Plastic for Hand Knitting Wool Sewing Crochet Clip Knitting Crochet Markers	line_item
936	5205	Ordinary	shipping
953	5216	USB 5V to DC 12V Power Cable works with Amazon Echo Dot (3rd Gen Only), Echo Dot with Clock, Echo Dot Kids Edition, Echo Show 5, Echo Spot, Fire TV Cube	line_item
954	5216	COD Handling fee	fee
955	5216	Ordinary	shipping
974	5235	Laptop DC Power Adapter Tips (10 Pcs) Universal 5.5x2.1mm Connector Power Supply Input Jack Plug for Lenovo Thinkpad, Dell, Sony, Toshiba, ASUS, HP etc	line_item
975	5235	Ordinary	shipping
976	5236	USB 5V to DC 12V Power Cable works with Amazon Echo Dot (3rd Gen Only), Echo Dot with Clock, Echo Dot Kids Edition, Echo Show 5, Echo Spot, Fire TV Cube	line_item
977	5236	Express	shipping
978	5237	Stitch Markers Locking type 25 Nos Mixed Color Plastic for Hand Knitting Wool Sewing Crochet Clip Knitting Crochet Markers	line_item
979	5237	Ordinary	shipping
980	5239	USB 5V to DC 12V Power Cable works with Amazon Echo Dot (3rd Gen Only), Echo Dot with Clock, Echo Dot Kids Edition, Echo Show 5, Echo Spot, Fire TV Cube	line_item
981	5239	Express	shipping
982	5241	Laptop DC Tip Converter 5.5x2.1mm female To Lenovo Square Tip male	line_item
983	5241	Express	shipping
986	5243	USB Boost Converter DC 5V to 12V USB Step-up Converter Cable Output jack 5.5x2.1mm	line_item
987	5243	Ordinary	shipping
991	5245	Car cigarette lighter socket to 5.5mm x 2.1mm 12V DC Adapter Power supply Cable	line_item
